country,capital,area,population
France,Paris 48°51′N 2°21′E ﻿ / ﻿ 48.850°N 2.350°E ﻿ / 48.850; 2.350,N/A,N/A
Brazil,Brasília [ a ] 15°47′S 47°52′W ﻿ / ﻿ 15.783°S 47.867°W ﻿ / -15.783; -47.867,N/A,N/A
Japan,Tokyo 35°41′N 139°46′E ﻿ / ﻿ 35.683°N 139.767°E ﻿ / 35.683; 139.767,N/A,N/A
Germany,Berlin [ b ] 52°31′N 13°23′E ﻿ / ﻿ 52.517°N 13.383°E ﻿ / 52.517; 13.383,N/A,N/A
Italy,Rome 41°54′N 12°29′E ﻿ / ﻿ 41.900°N 12.483°E ﻿ / 41.900; 12.483,N/A,N/A
Canada,Ottawa 45°24′N 75°40′W ﻿ / ﻿ 45.400°N 75.667°W ﻿ / 45.400; -75.667,N/A,N/A
Australia,Canberra 35°18′29″S 149°07′28″E ﻿ / ﻿ 35.30806°S 149.12444°E ﻿ / -35.30806; 149.12444,N/A,N/A
India,New Delhi 28°36′50″N 77°12′30″E ﻿ / ﻿ 28.61389°N 77.20833°E ﻿ / 28.61389; 77.20833,N/A,N/A
China,Beijing 39°55′N 116°23′E ﻿ / ﻿ 39.917°N 116.383°E ﻿ / 39.917; 116.383,N/A,N/A
United States,"Washington, D.C. 38°53′N 77°1′W ﻿ / ﻿ 38.883°N 77.017°W ﻿ / 38.883; -77.017",N/A,N/A
United Kingdom,London 51°30′N 0°7′W ﻿ / ﻿ 51.500°N 0.117°W ﻿ / 51.500; -0.117,N/A,N/A
Spain,Madrid 40°26′N 3°42′W ﻿ / ﻿ 40.433°N 3.700°W ﻿ / 40.433; -3.700,N/A,N/A
Argentina,Buenos Aires 34°36′S 58°23′W ﻿ / ﻿ 34.600°S 58.383°W ﻿ / -34.600; -58.383,N/A,N/A
South Korea,Seoul 37°33′N 126°58′E ﻿ / ﻿ 37.550°N 126.967°E ﻿ / 37.550; 126.967,N/A,N/A
